gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
MTHFR,9.729224302034913,0.32277759762332536,0.017614653008526784,0.35751501960163495,0,cko-low
SLITRK1,6.0269415389610765,-1.0726090997613813,0.01763978298946786,0.35777908700893135,0,cko-high
GM42869,5.359435561398124,-0.7825629671210423,0.017652531363819977,0.35777908700893135,0,cko-high
PDK3,9.517980325435435,-0.41616399208851185,0.01765606470342022,0.35777908700893135,0,cko-high
GNPDA1,9.583122263624318,0.37112675776940485,0.01767053583270903,0.35788043418528387,0,cko-low
SYT3,6.945414542991925,0.6020165117687046,0.017690563568398234,0.358094150175097,0,cko-low
IFIT3B,7.020643826486152,-0.47158327633931396,0.01770410514092015,0.3581764140715494,0,cko-high
MESP1,-3.1143336433984574,3.215797593093784,0.017752625537726354,0.3589159067350827,0,cko-low
CST7,3.400123710175739,1.2135077079802796,0.017767893354578988,0.3589159067350827,0,cko-low
GM42991,6.233027544190367,-0.8989403207856137,0.01778794914713474,0.3589159067350827,0,cko-high
4930455C13RIK,2.92857355619417,-1.3883157379844584,0.017790985800138923,0.3589159067350827,0,cko-high
EPM2AIP1,9.833953014782967,-0.24456684397961226,0.017795515915666506,0.3589159067350827,0,cko-high
GM8614,0.10911230430610563,4.0193929387640015,0.017800541057737602,0.3589159067350827,0,cko-low
4933405L10RIK,-3.1143336433984574,3.2205973634163003,0.017807137095900722,0.3589159067350827,0,cko-low
OMG,5.1523360201497255,-0.7058763185201693,0.017881063568901488,0.3601531499303347,0,cko-high
GM44435,3.022231907197134,-1.891276309698899,0.017887581033531916,0.3601531499303347,0,cko-high
ACP6,9.970246440935878,-0.2574658810748023,0.017942939900487585,0.360717313881439,0,cko-high
GM46367,3.5563594773428795,-1.24522497600727,0.017943705785139295,0.360717313881439,0,cko-high
GM49878,5.483690996580616,-0.6893145693652523,0.017944235555067353,0.360717313881439,0,cko-high
FAM83D,3.0588410286479393,1.816143188962394,0.017982847148709284,0.36115103022236617,0,cko-low
GM2675,-0.2010855777024716,-3.648388129347004,0.017986261800942583,0.36115103022236617,0,cko-high
GM43281,5.236979641501028,-0.7803069781073004,0.017994480046272108,0.36115103022236617,0,cko-high
OCLN,9.194407937545428,0.2849113499011864,0.018010306562599138,0.36121853393638315,0,cko-low
GM6363,1.8420850170102376,-2.041862003446955,0.018016959580601243,0.36121853393638315,0,cko-high
GM43508,6.402057486059007,-0.5598851816136055,0.018030864719446798,0.36124488888907375,0,cko-high
ZFP92,1.308346731043263,-2.476818771016651,0.018037391652563562,0.36124488888907375,0,cko-high
PEG10,4.497690671520207,-0.8199256485124478,0.018072008728155536,0.36174647979579133,0,cko-high
SQLE,10.86852295459212,-0.41860871163754787,0.018158855782450013,0.3631967873463683,0,cko-high
